tool,size,t_parse
sophia,10000,0.036023606
sophia,10000,0.032463211
sophia,10000,0.031136365
sophia,10000,0.028577471
sophia,20000,0.055210944
sophia,20000,0.055445984
sophia,20000,0.055211265
sophia,20000,0.055529937
sophia,40000,0.108357702
sophia,40000,0.109611314
sophia,40000,0.127837116
sophia,40000,0.141385685
sophia,80000,0.286496874
sophia,80000,0.287572361
sophia,80000,0.28956128
sophia,80000,0.291829151
sophia,100000,0.363686407
sophia,100000,0.38260355
sophia,100000,0.37657042
sophia,100000,0.363149594
sophia,1000000,3.629984227
sophia,1000000,3.715343569
sophia,1000000,3.394509933
sophia,1000000,3.418258482
sophia,10310000,35.193274048
sophia,10310000,35.529033386
sophia,10310000,35.478969999
sophia,10310000,35.217497172
