tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.06119466,3132,0.000002552,0.000612428
sophia_lg,10000,0.060851273,3132,0.000001768,0.00059624
sophia_lg,10000,0.059481682,3132,0.000001379,0.000562115
sophia_lg,10000,0.061844508,3132,0.000001365,0.000623124
sophia_lg,20000,0.10632022,5436,0.000002318,0.001128136
sophia_lg,20000,0.104354816,5436,0.000001241,0.001186929
sophia_lg,20000,0.107070322,5436,0.000001752,0.001119086
sophia_lg,20000,0.10621853,5436,0.000002145,0.001215306
sophia_lg,40000,0.196950446,10048,0.000001841,0.002369274
sophia_lg,40000,0.193572722,10048,0.000001726,0.002396593
sophia_lg,40000,0.193886571,10048,0.000001401,0.002451309
sophia_lg,40000,0.20091355,10048,0.000001642,0.002371122
sophia_lg,80000,0.384862264,18752,0.000001327,0.004869884
sophia_lg,80000,0.378558947,18752,0.00000152,0.004757245
sophia_lg,80000,0.374672643,18752,0.00000139,0.004934435
sophia_lg,80000,0.382983346,18752,0.000001844,0.004940353
sophia_lg,100000,0.490878511,25920,0.000002939,0.006721726
sophia_lg,100000,0.490853016,25920,0.000001291,0.006210387
sophia_lg,100000,0.483978229,25920,0.00000192,0.006298155
sophia_lg,100000,0.504401065,25920,0.000001815,0.006175551
sophia_lg,1000000,4.95903821,163160,0.000002046,0.10982032
sophia_lg,1000000,4.906412276,163160,0.000003908,0.108059795
sophia_lg,1000000,4.906473417,163160,0.000001856,0.107157705
sophia_lg,1000000,4.854271154,163160,0.000002097,0.107132248
sophia_lg,10310000,50.839382104,1315792,0.000001844,1.354093124
sophia_lg,10310000,51.815078553,1315792,0.00000472,1.358307016
sophia_lg,10310000,51.923522532,1315792,0.000004064,1.327598416
sophia_lg,10310000,51.467254221,1315792,0.000002577,1.321579646
