tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.101163516,5652,0.00000253,0.000030323
sophia,10000,0.102594931,5652,0.00000253,0.000031501
sophia,10000,0.104475817,5652,0.000002685,0.00002261
sophia,10000,0.097719236,5652,0.000003762,0.000038343
sophia,20000,0.225550449,9524,0.000002564,0.000048908
sophia,20000,0.21653837,9524,0.000002564,0.000042143
sophia,20000,0.181952756,9524,0.000002156,0.000034796
sophia,20000,0.187397853,9524,0.000001947,0.000038037
sophia,40000,0.38679823,18284,0.00000287,0.000090873
sophia,40000,0.44516855,18284,0.000003237,0.000107905
sophia,40000,0.486539348,18284,0.000002972,0.000136503
sophia,40000,0.369196283,18284,0.000002087,0.000085029
sophia,80000,0.717494174,35976,0.000002836,0.00013585
sophia,80000,0.699765682,35976,0.00000272,0.000160843
sophia,80000,0.635983167,35976,0.000003021,0.000197062
sophia,80000,0.667661103,35976,0.00000207,0.000149726
sophia,100000,0.902023583,44072,0.000003026,0.000285577
sophia,100000,0.940344032,44072,0.000003129,0.000221341
sophia,100000,1.02947993,44072,0.000002658,0.000209398
sophia,100000,0.990067444,44072,0.000002927,0.000221811
sophia,1000000,9.140237942,362568,0.00000211,0.001835716
sophia,1000000,6.569289783,362568,0.00000204,0.001623294
sophia,1000000,5.914457221,362568,0.000001988,0.00160447
sophia,1000000,5.949743668,362568,0.000001782,0.001864282
sophia,10310000,65.944340039,2999860,0.000001918,0.015060923
sophia,10310000,65.970964487,2999860,0.0000018,0.015469216
sophia,10310000,67.211646311,2999860,0.000001969,0.015240833
sophia,10310000,65.536702998,2999860,0.000002007,0.015497328
