tool,size,t_load,m_graph,t_first,t_rest
sophia_lg,10000,0.059908137,3460,0.000001317,0.000568585
sophia_lg,10000,0.058574253,3460,0.000001415,0.000582051
sophia_lg,10000,0.054983373,3460,0.000002102,0.000593707
sophia_lg,10000,0.054645928,3460,0.000001437,0.000576755
sophia_lg,20000,0.102184323,5036,0.000002212,0.001184722
sophia_lg,20000,0.107727496,5036,0.000002342,0.001150062
sophia_lg,20000,0.104010421,5036,0.000002244,0.001218378
sophia_lg,20000,0.105071546,5036,0.000001379,0.001161702
sophia_lg,40000,0.225836133,9112,0.000002917,0.002506727
sophia_lg,40000,0.203943904,9112,0.000002624,0.002501423
sophia_lg,40000,0.198316392,9112,0.000001863,0.0029364
sophia_lg,40000,0.201648784,9112,0.000001385,0.002450105
sophia_lg,80000,0.408165131,17208,0.00000134,0.005032929
sophia_lg,80000,0.396721176,17208,0.000001205,0.005189928
sophia_lg,80000,0.391257952,17208,0.000002297,0.005090648
sophia_lg,80000,0.395603791,17208,0.000002052,0.005102934
sophia_lg,100000,0.514277237,25476,0.000001854,0.006297209
sophia_lg,100000,0.513618064,25476,0.000001369,0.006216696
sophia_lg,100000,0.524386809,25476,0.000001973,0.006652631
sophia_lg,100000,0.527071131,25476,0.000001681,0.006447389
sophia_lg,1000000,5.080755307,145248,0.000001953,0.113591346
sophia_lg,1000000,5.041927263,145248,0.00000365,0.103481142
sophia_lg,1000000,5.04645258,145248,0.000003571,0.103163461
sophia_lg,1000000,5.049117766,145248,0.000001921,0.10491437
sophia_lg,10310000,52.455998956,1173540,0.000003093,1.298676581
sophia_lg,10310000,52.794012003,1173540,0.00000171,1.312977418
sophia_lg,10310000,52.662377058,1173540,0.000003937,1.305186528
sophia_lg,10310000,53.417776703,1173540,0.000002178,1.311506355
