tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.05589033,5624,0.000001564,0.000011311
sophia,10000,0.056096877,5624,0.000001665,0.000010148
sophia,10000,0.056970014,5624,0.000001851,0.000011878
sophia,10000,0.055965597,5624,0.000001538,0.000011545
sophia,20000,0.112042565,9780,0.000001879,0.00004244
sophia,20000,0.110440796,9780,0.00000202,0.000041064
sophia,20000,0.111524761,9780,0.000001937,0.000041001
sophia,20000,0.110605263,9780,0.000002103,0.000043929
sophia,40000,0.229085083,18276,0.000001739,0.000093726
sophia,40000,0.225410845,18276,0.000002017,0.000108765
sophia,40000,0.224845561,18276,0.000002052,0.000093434
sophia,40000,0.223490719,18276,0.000002304,0.00009675
sophia,80000,0.461627076,35972,0.000001958,0.000189555
sophia,80000,0.459462089,35972,0.00000204,0.000182304
sophia,80000,0.470755314,35972,0.000001941,0.000184316
sophia,80000,0.459592507,35972,0.000002421,0.000183247
sophia,100000,0.595883175,44064,0.000002104,0.000251666
sophia,100000,0.60053922,44064,0.000001928,0.00017802
sophia,100000,0.591529801,44064,0.000002015,0.000256282
sophia,100000,0.593408424,44064,0.000002119,0.000248163
sophia,1000000,6.102632228,362564,0.00000205,0.002191497
sophia,1000000,5.95899228,362564,0.000002345,0.00213025
sophia,1000000,5.971646982,362564,0.000002446,0.002051423
sophia,1000000,5.945254061,362564,0.000002214,0.002264631
sophia,10310000,63.690913926,2999852,0.000002071,0.014334509
sophia,10310000,63.49810262,2999852,0.000002237,0.014522778
sophia,10310000,63.450940309,2999852,0.000002408,0.014272125
sophia,10310000,64.747659071,2999852,0.000002342,0.014270836
