tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.054400775,4916,0.000001498,0.000008597
sophia,10000,0.056751866,4916,0.000001289,0.000008999
sophia,10000,0.054812205,4916,0.000001543,0.00001723
sophia,10000,0.055700427,4916,0.000001359,0.000012426
sophia,20000,0.10976307,8656,0.000002091,0.000057259
sophia,20000,0.113326302,8656,0.0000016,0.000047095
sophia,20000,0.10855714,8656,0.000001543,0.000039812
sophia,20000,0.110107099,8656,0.000001917,0.000046228
sophia,40000,0.221315638,16308,0.000002065,0.000085668
sophia,40000,0.217566914,16308,0.000001972,0.000084381
sophia,40000,0.219397821,16308,0.000001838,0.0000862
sophia,40000,0.220282297,16308,0.000001692,0.00009385
sophia,80000,0.443637783,31496,0.00000208,0.000178749
sophia,80000,0.439328707,31496,0.000002065,0.000189266
sophia,80000,0.443942089,31496,0.000001984,0.000185669
sophia,80000,0.441065339,31496,0.000001727,0.000181355
sophia,100000,0.576651057,41564,0.000001707,0.000227812
sophia,100000,0.572958539,41564,0.000001757,0.000157462
sophia,100000,0.576995685,41564,0.000001878,0.000227439
sophia,100000,0.576726234,41564,0.000001878,0.000241346
sophia,1000000,5.796335215,317956,0.000002104,0.002190634
sophia,1000000,5.810783507,317956,0.000002088,0.002285043
sophia,1000000,5.704617106,317956,0.000002111,0.002106886
sophia,1000000,5.682275864,317956,0.000001735,0.002174085
sophia,10310000,62.127353404,2625800,0.000001835,0.014506007
sophia,10310000,61.681868045,2625800,0.000002073,0.01431115
sophia,10310000,62.339803943,2625800,0.0000021,0.014399844
sophia,10310000,62.514087076,2625800,0.000001964,0.014380199
