tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.057143865,5624,0.000001421,0.000009681
sophia,10000,0.057906111,5624,0.00000169,0.000010604
sophia,10000,0.056857438,5624,0.000001534,0.000011072
sophia,10000,0.057006817,5624,0.000001189,0.000010476
sophia,20000,0.113210967,9516,0.000001694,0.000040209
sophia,20000,0.114236396,9516,0.00000154,0.000041488
sophia,20000,0.11372114,9516,0.000001623,0.000041625
sophia,20000,0.113802998,9516,0.000001818,0.000039809
sophia,40000,0.231291563,18280,0.000001722,0.000108736
sophia,40000,0.232290317,18280,0.000001716,0.000096694
sophia,40000,0.22716252,18280,0.000001873,0.000096109
sophia,40000,0.229348753,18280,0.000001848,0.000094501
sophia,80000,0.470927207,35972,0.000001893,0.000188483
sophia,80000,0.46760918,35972,0.000001925,0.00018889
sophia,80000,0.468005633,35972,0.000001523,0.000196538
sophia,80000,0.467648207,35972,0.000001651,0.000215768
sophia,100000,0.608590836,44064,0.000001692,0.000254381
sophia,100000,0.598474244,44064,0.000001363,0.000176747
sophia,100000,0.60373863,44064,0.000001815,0.000256109
sophia,100000,0.605006106,44064,0.0000018,0.000251877
sophia,1000000,6.230167844,362564,0.000002195,0.002112782
sophia,1000000,6.099123949,362564,0.000002006,0.002182633
sophia,1000000,6.105757519,362564,0.000002011,0.002204944
sophia,1000000,6.125677751,362564,0.000001894,0.002132955
sophia,10310000,65.043568357,2999844,0.000001919,0.01427071
sophia,10310000,65.176684006,2999844,0.000002292,0.014726165
sophia,10310000,64.872202924,2999844,0.000001854,0.014153312
sophia,10310000,64.838458448,2999844,0.00000192,0.014496367
