tool,size,t_parse
sophia,10000,0.025822475
sophia,10000,0.024063829
sophia,10000,0.025360147
sophia,10000,0.024045667
sophia,20000,0.048253036
sophia,20000,0.047082662
sophia,20000,0.049675868
sophia,20000,0.046680187
sophia,40000,0.09101275
sophia,40000,0.083948302
sophia,40000,0.095264101
sophia,40000,0.099448361
sophia,80000,0.203537343
sophia,80000,0.196946164
sophia,80000,0.18437628
sophia,80000,0.186025985
sophia,100000,0.252951664
sophia,100000,0.239999117
sophia,100000,0.231414622
sophia,100000,0.23251691
sophia,1000000,2.446515276
sophia,1000000,2.181924308
sophia,1000000,2.261178802
sophia,1000000,2.194375893
sophia,10310000,24.474227858
sophia,10310000,22.227900265
sophia,10310000,22.069559013
sophia,10310000,22.10564912
