tool,size,t_load,m_graph,t_first,t_rest
sophia,10000,0.040270512,4868,0.000001239,0.000008954
sophia,10000,0.033746578,4868,0.000001307,0.000007135
sophia,10000,0.033980035,4868,0.000001143,0.00000906
sophia,10000,0.033994124,4868,0.00000125,0.000009119
sophia,20000,0.067436635,8480,0.00000172,0.000039721
sophia,20000,0.067796265,8480,0.000001257,0.000033502
sophia,20000,0.066886267,8480,0.000001524,0.00003428
sophia,20000,0.067029343,8480,0.000001458,0.000034788
sophia,40000,0.13592601,16188,0.000001682,0.000091652
sophia,40000,0.136841496,16188,0.000001778,0.00008895
sophia,40000,0.134515409,16188,0.000001579,0.000088578
sophia,40000,0.136280888,16188,0.000001787,0.000088456
sophia,80000,0.303353153,31296,0.000001641,0.000184378
sophia,80000,0.288464245,31296,0.000001409,0.000183255
sophia,80000,0.287937421,31296,0.000001544,0.000180532
sophia,80000,0.286292195,31296,0.00000168,0.000184374
sophia,100000,0.395873827,41348,0.000001899,0.000226128
sophia,100000,0.388556828,41348,0.000002124,0.000226873
sophia,100000,0.390199836,41348,0.000001765,0.000228489
sophia,100000,0.389562907,41348,0.00000216,0.000227857
sophia,1000000,4.3289849799999995,316568,0.000001889,0.002047112
sophia,1000000,4.141862493,316568,0.000001889,0.00218693
sophia,1000000,4.12940698,316568,0.000002151,0.002174486
sophia,1000000,4.159077545,316568,0.000001856,0.002249315
sophia,10310000,49.752955079,2613696,0.000002246,0.014851609
sophia,10310000,48.893911518,2613696,0.000001915,0.014642921
sophia,10310000,48.392560382,2613696,0.000002164,0.014592895
sophia,10310000,48.206560574,2613696,0.00000183,0.014570915
